ID,Account,Date,Description,Amount
cb9305d64bb07ea473b077619ad139cb67f570f8,RBC Chequing,3/23/2026,C-IDP PURCHASE-7675 SP UNMEDIOCRE S,-7.79,cad
0635ef094ce5ffc7d7a1b37501b38fc605fbfd51,RBC Chequing,3/23/2026,C-IDP PURCHASE-8497 SQ *CASA DEL PA,-8.99,cad
5bdc4168af47fca90666773faa64948abb4da59d,RBC Chequing,3/23/2026,C-IDP PURCHASE-8204 KIN'S FARM NPV,-12.60,cad
2f27ac159410aaffe71d55cbe49d32047312f16d,RBC Chequing,3/23/2026,C-IDP PURCHASE-0315 SAVE ON FOODS,-19.17,cad
1689ad1a7813152012469487346db3dc7e1ad21c,RBC Chequing,3/24/2026,C-IDP PURCHASE-6684 THE POLLY FOX B,-27.17,cad
5e9717e5870d601b00dc820f182751ef86ad2c02,RBC Chequing,3/25/2026,DR KIRA ND IDP PURCHASE - 7777,-239.95,cad
126019f61f21963b168b6442bad3a5ee2519923c,RBC Chequing,3/25/2026,C-IDP PURCHASE-7123 NEW PORT LIQUOR,-25.50,cad
aa6868b032cf6ad15f98745c23b8320ec5f5b195,RBC Chequing,3/25/2026,C-IDP PURCHASE-8588 SP VILLAGE TOY,-39.19,cad
d40742e4a20a2307716b59dc0cd007e5f54e71a0,RBC Chequing,3/26/2026,BILL PAYMENT Telus Mobility,-151.49,cad
8f20907ff57a6970e6e3d6f09084770da2d0de9d,RBC Chequing,3/26/2026,C-IDP PURCHASE-2836 SQ *CAFFE DIVAN,-21.05,cad
986edd92faed33a6f6ba074d1f0651dd4a76896d,RBC Chequing,3/27/2026,PAYROLL DEPOSIT BURNABY #41 TEA,1692.36,cad
9e9ffd81a993742c582d849852cdf2d188dbdb1a,RBC Chequing,3/27/2026,PAYROLL DEPOSIT IBM Canada Ltd.,4761.82,cad
c6b39290d502ffe8c84f27a1f2640e1ebbdecd84,RBC Chequing,3/30/2026,BILL PAYMENT Telus Comm,-173.60,cad
9bc48b989d27816a745066dcd581e3df4e8c4201,RBC Chequing,4/1/2026,MISC PAYMENT BCS 2592 - Boar,-640.37,cad
2f879620d4cdc148a09b846a60cb3a2291912fc8,RBC Chequing,4/1/2026,Email Trfs E-TRANSFER SENT,-60.00,cad
9aab7815cbf910597a4d1bdd8fdccf189cd6be9f,RBC Chequing,4/1/2026,Email Trfs E-TRANSFER SENT,-155.40,cad
1e091f5a08e481b8778969b8269d90c54e61aa2a,RBC Chequing,4/1/2026,Email Trfs E-TRANSFER SENT,-638.00,cad
fc2ece21c6dd37626a6046d8b9b72280ae7ba5e0,RBC Chequing,4/1/2026,Transfer WWW TRANSFER - 2672,-6202.68,cad
d48e40174c38178795985efe0d99e792e012a1cf,RBC Chequing,4/2/2026,MISC PAYMENT Block 8 Academy,-45.00,cad
d6a05d7fc2fe1e6ab2ecb2d72533e1031567bf00,RBC Chequing,4/2/2026,MONTHLY FEE,-16.95,cad
