ID,Account,Date,Description,Amount
bdaed198ff52f905d8096e6ab6e1f234fda13174,RBC Chequing,4/23/2026,C-IDP PURCHASE-4404 SHOPPERS DRUG M,-11.52,cad
07e921a5f4c3b255baa420c0aaafab1eadc211fc,RBC Chequing,4/24/2026,PAYROLL DEPOSIT BURNABY #41 TEA,1465.52,cad
a44267539bf18718a5eb1e19434dd4e09aa00ac1,RBC Chequing,4/24/2026,PAYROLL DEPOSIT IBM Canada Ltd.,4880.54,cad
fff8015c4280779310ececb360c7953668c38fe0,RBC Chequing,4/24/2026,C-IDP PURCHASE-4238 BLACK SUGAR COF,-7.19,cad
6da40a0e341f87c1bc225cf281bf3d1fa810def7,RBC Chequing,4/24/2026,C-IDP PURCHASE-3689 BC LIQUOR #137,-48.48,cad
4e17caed75928672c340a34cd8e911b946e06d01,RBC Chequing,4/27/2026,DR KIRA ND IDP PURCHASE - 9274,-200.05,cad
79faa6d05c07230daa6c0f92dc51c7fcb2ad26bd,RBC Chequing,4/27/2026,BILL PAYMENT Telus Mobility,-151.49,cad
fa2e87aef3e901c438ef11449b69723776fd2ff7,RBC Chequing,4/27/2026,Email Trfs E-TRANSFER SENT,-155.40,cad
84604aca13095d0cf14e08070d8258738bfcf471,RBC Chequing,4/27/2026,C-IDP PURCHASE-4791 SKT FARM MARKET,-68.89,cad
eabdcb875b5de32ec9da9fee95bdb3537d3669d6,RBC Chequing,4/29/2026,BILL PAYMENT Telus Comm,-173.60,cad
15d9dd5ec647efdec79c6698c29b5222dc95e72a,RBC Chequing,5/1/2026,MISC PAYMENT BCS 2592 - Boar,-640.37,cad
28e76da8bea31e85933f1d0f7ad723ef581ca658,RBC Chequing,5/1/2026,Email Trfs E-TRANSFER SENT,-2500.00,cad
b3711034743fac9ab0241d50c6f83477695d5c91,RBC Chequing,5/4/2026,TAX REFUND CANADA,4732.96,cad
6d17970f11471524f52ef6d61f61e4e912f67dbe,RBC Chequing,5/4/2026,C-IDP PURCHASE-8245 BC LIQUOR #205,-33.33,cad
8c9e19b502c5517e68f5bcdef3384c6cec6a4f6c,RBC Chequing,5/5/2026,MISC PAYMENT Block 8 Academy,-45.00,cad
34ad3671689dc56d306fb743fc7a65e17e73e19e,RBC Chequing,5/5/2026,MONTHLY FEE,-16.95,cad
76d79eb936f6faff42be0649c2860e88df5cfe77,RBC Chequing,5/6/2026,C-IDP PURCHASE-3163 SieBro Bakers L,-6.75,cad
0b6f876939324d5e4a86563d71cfb2080262593c,RBC Chequing,5/6/2026,C-IDP PURCHASE-4041 THRIFTY FOODS #,-67.02,cad
6b08fbb31aa9cb2d6c20abd7ad8e058f52eb00bd,RBC Chequing,5/7/2026,TAX REFUND CANADA,21760.47,cad
43f6444c7bf2ae0074ab35e1adbecd8b137ed2f5,RBC Chequing,5/8/2026,PAYROLL DEPOSIT IBM Canada Ltd.,5172.73,cad
0d3091016290109793268181f56bd448a9d1e8b5,RBC Chequing,5/13/2026,Email Trfs E-TRANSFER SENT,-638.00,cad
a55a40671c7c925f45c9a03cae1e01689261d9cb,RBC Chequing,5/13/2026,C-IDP PURCHASE-3151 INDIGO PARK - V,-0.50,cad
dfffb97b1f7955081d1c5125ed49a16553dad2a4,RBC Chequing,5/13/2026,C-IDP PURCHASE-2744 THRIFTY FOODS #,-140.20,cad
e8d0ae0936e12c11aebeb84a9ef34c15a928ba2f,RBC Chequing,5/15/2026,HEALTH/DENTAL CLAIM PAC BLUE CROSS,85.43,cad
19af31c72e95bcb10640cccf0d429beb15a3e4ed,RBC Chequing,5/15/2026,PAYROLL DEPOSIT BURNABY #41 TEA,1645.00,cad
9a524c59c1f03f427e411043c4408d701e2b66ec,RBC Chequing,5/19/2026,C-IDP PURCHASE-0644 ARABICA WHISTLE,-14.18,cad
0108421d0ea386a3c052e4bb0a98e6c7a7c48e84,RBC Savings,4/29/2026,BONUS DEP INT,0.22,cad
eead74e6b0b076409ef2f39411391c764fbc2d3e,RBC Savings,5/1/2026,DEPOSIT INTEREST,1.37,cad
eb80e61ce3e0920b95b3c4bb36141dd57ea07494,RBC Visa,4/15/2026,COMPASS ACCOUNT BURNAB BURNABY BC,-3.35,cad
15d1a9e00fd85309d1eafa1a4311e76d909b1c93,RBC Visa,4/15/2026,AMZN Mktp CA*B76SZ2SY1 866-216-1072 ON,-22.39,cad
9abbe26fe2972c12738cb60288ed9f22d2aaff66,RBC Visa,4/16/2026,APPLE.COM/BILL 866-712-7753 ON,-12.31,cad
472766ca53a306388cb684a7e4be5835a8860c83,RBC Visa,4/16/2026,ALLIED COAST THERAPY PORT MOODY BC,-27.00,cad
662274bd317a52fa54c166afa19526b8c8a900f0,RBC Visa,4/16/2026,UBER CANADA/UBERTRIP TORONTO ON,-61.79,cad
3f4a7f63eddd7e341fca8610dbabbc1e22b9548b,RBC Visa,4/16/2026,UBER CANADA/UBERTRIP TORONTO ON,-9.26,cad
acd624a3ca3d030bd4f6f298ca7e8a10923e3477,RBC Visa,4/16/2026,CLR*Block 8 Academy 778-8939706 BC,-92.06,cad
d5891486b0e7df7c2bfb94f48cb5877fd6fc0137,RBC Visa,4/16/2026,HANGAR 49 TAP&TAVERN Y RICHMOND BC,-27.88,cad
d2ec8ebaf69fc6ed2d40c5827a59f34d3cb7fbb8,RBC Visa,4/16/2026,STARBUCKS PIER A VANCOUVER BC,-5.83,cad
1daf11aacc2800558d870c90e636b28ad4dbbad5,RBC Visa,4/17/2026,Fusian Experience Winnipeg MB,-39.20,cad
e9c481d492b9089048c95695d9129a143fb924a7,RBC Visa,4/17/2026,FORKS TRADING COMPANY WINNIPEG MB,-14.55,cad
374bdbbd2459089ba555873e96c0a1b4308dcc1a,RBC Visa,4/17/2026,ELLEMENT WINE & SPIRITS WINNIPEG MB,-47.04,cad
1f3621e83db3b67467d68668ac6fd3decbd5d9f1,RBC Visa,4/17/2026,SQ *THE COMMON Winnipeg MB,-17.92,cad
cd9c9aa4d6f3d8704e10664835019d79202c7729,RBC Visa,4/18/2026,PARKING PPL TORONTO ON,-2.25,cad
27b06291fd9cd5bfbdba65f33b37afc8b9ac602d,RBC Visa,4/18/2026,COQ CITY CENTRE AQUATI COQUITLAM BC,-7.19,cad
255b019bae5aab7b8d3718735b24dc584aa0d3e4,RBC Visa,4/18/2026,CMHR WINNIPEG MB,-23.00,cad
f23356edc31472a7035942fa372725dc3607dfba,RBC Visa,4/19/2026,SieBro Bakers Ltd. Port Moody BC,-6.25,cad
2a68cb0c1e871e8f2e7c78655217b635af75b1d1,RBC Visa,4/19/2026,Greater Vancouver Zoo ALDERGROVE BC,-225.75,cad
956d5396fd627927ca3054d5278b0ba4b2d913b3,RBC Visa,4/19/2026,THRIFTY FOODS #9470 PORT MOODY BC,-179.68,cad
ac78cfd77d126705182cc2b461234ecfd1723825,RBC Visa,4/19/2026,STELLA'S AU CCFM WINNIPEG MB,-141.86,cad
b37a0a8bf935e65f138a108c5c34d244212b8795,RBC Visa,4/20/2026,UBER CANADA/UBERTRIP TORONTO ON,-76.50,cad
