ID,Account,Date,Description,Amount
a26636899b466bd8eb1f62209ebf909b7f26ac54,RBC Chequing,8/27/2026,Email Trfs E-TRANSFER SENT,-155.40,cad
cfb3b142e5c9163e7c1d05b7823c804a77da8b97,RBC Chequing,8/27/2026,C-IDP PURCHASE-6010 HM CA0030,-34.63,cad
b4244b4015d68287d859187babf18b78336e3f1a,RBC Chequing,8/27/2026,C-IDP PURCHASE-4847 SEPHORA COQUITL,-95.20,cad
de6d6ab18109720fd4fc85f0a25e6bce68e4c2a3,RBC Chequing,8/28/2026,PAYROLL DEPOSIT IBM Canada Ltd.,5401.42,cad
1dbf513e57d3a365008a8294ea8c3cc7eac35771,RBC Chequing,8/31/2026,COSTCO WHOLESAL IDP PURCHASE - 9765,-901.67,cad
b4381d3dc5c696afc80be90b5548f74345006a4c,RBC Chequing,8/31/2026,BILL PAYMENT Telus Comm,-173.60,cad
9fafc239a7fc0b399507c67fa5a726d0f4a56256,RBC Chequing,8/31/2026,C-IDP PURCHASE-1273 COSTCO WHOLESAL,-3.15,cad
0a4379312dc7cb8dfb55507a542ff71b02f025de,RBC Chequing,8/31/2026,C-IDP PURCHASE-7035 POMME NATURAL M,-117.55,cad
67f7f9927e8085f50de8f2868a729ad8dcc2c8ba,RBC Chequing,9/1/2026,ESSO 7-ELEVEN 3 IDP PURCHASE - 8158,-80.66,cad
b9e8b89426ed3a50ff97cb91a8a3912c215050a2,RBC Chequing,9/1/2026,MISC PAYMENT BCS 2592 - Boar,-640.37,cad
ea3d87c7a979e81bbbc1a8ea7a5967055e8a84a0,RBC Chequing,9/1/2026,Email Trfs E-TRANSFER SENT,-638.00,cad
bc4b79664d7eb6add52a574f802b9b85d3bb27b8,RBC Chequing,9/2/2026,MISC PAYMENT PLOOTO GFZ999,0.01,cad
f274e2fb0ce78306c7a836da74f87f8fca4c7ba4,RBC Chequing,9/2/2026,C-IDP PURCHASE-2201 THRIFTY FOODS #,-14.57,cad
fd104f2d94e9d4cc8edef857c93129b6624b74d6,RBC Chequing,9/2/2026,C-IDP PURCHASE-6944 059 BOATHOUSE C,-60.48,cad
5676680ac1195840640aad81760a14cf01669be3,RBC Chequing,9/2/2026,C-IDP PURCHASE-0141 The Inlet Nail,-115.92,cad
411ed7d92b720ec58f57e8ca43deb8983bc1161f,RBC Chequing,9/3/2026,MISC PAYMENT Block 8 Academy,-640.35,cad
