ID,Account,Date,Description,Amount
dfb767bf4b2fe29a10c9f57169cdd22a2b1f2a66,RBC Chequing,5/21/2026,C-IDP PURCHASE-3176 GRIT,-4.36,cad
95d7fa4329e5cc484c46bdb47fd991b0a6ab3f96,RBC Chequing,5/21/2026,C-IDP PURCHASE-8294 VIVIO FLOWER GA,-52.59,cad
74998751aa13a394ffd3cbc5ce48e11b2d3079ba,RBC Chequing,5/22/2026,PAYROLL DEPOSIT IBM Canada Ltd.,5229.55,cad
b0da72b3c7fecddabb5eb3e5660d1f19f9b9f44c,RBC Chequing,5/22/2026,C-IDP PURCHASE-8439 SQ *PORT MOODY,-33.00,cad
9e638338e33adea75e8bdae4d8da0804d235f3e7,RBC Chequing,5/25/2026,Email Trfs E-TRANSFER SENT,-30.00,cad
b688364a815b7f4080cccc69d289eda5cdec92e2,RBC Chequing,5/26/2026,BILL PAYMENT Telus Mobility,-151.49,cad
c3e5c670ec04d1991d88f72815d0a4b5e0cb03a2,RBC Chequing,5/26/2026,Email Trfs E-TRANSFER SENT,-30.00,cad
f43b08399e40f3006a67aa0a35a2afb786f805e8,RBC Chequing,5/29/2026,PAYROLL DEPOSIT BURNABY #41 TEA,1645.36,cad
e3ae9324a010fab4ebdc496ed83c834007c16e7e,RBC Chequing,5/29/2026,BILL PAYMENT Telus Comm,-173.60,cad
a7dfc4d8cd17da6053359621a1801f4fe907da1a,RBC Chequing,6/1/2026,MISC PAYMENT BCS 2592 - Boar,-640.37,cad
fb73699a9c498099028f44125d0d705b6964fd6c,RBC Chequing,6/1/2026,Email Trfs E-TRANSFER SENT,-35.00,cad
42de926571305274b213c4cc923dd9cb6b796e63,RBC Chequing,6/1/2026,Email Trfs E-TRANSFER SENT,-638.00,cad
d10616076738efc8227112ec4a4aa361f98f3605,RBC Chequing,6/1/2026,C-IDP PURCHASE-2198 SQ *STEAM AND S,-21.52,cad
ee41d526872d033f3631f2cf0f3d06000a34a6f6,RBC Chequing,6/2/2026,MISC PAYMENT Block 8 Academy,-45.00,cad
2d3c515386b472328d0119063189779a4d8eb7ab,RBC Chequing,6/2/2026,Payment WWW PAYMENT - 1871 PORT MOODY TA,-3202.02,cad
1d0b18e79920c968f761c4f20111c76e2a2ab5e1,RBC Chequing,6/2/2026,Transfer WWW TRANSFER - 1888,-12139.88,cad
8ec6bf9c28ad99d262a49274a05d12b3c20ba328,RBC Chequing,6/3/2026,Email Trfs E-TRANSFER SENT,-150.00,cad
8ba43c9bc28103e9515c4321831f9fd01022764f,RBC Chequing,6/4/2026,Email Trfs E-TRANSFER SENT,-155.40,cad
c5dde2bb9fc385872051ca89b10e00f35d03f875,RBC Chequing,6/5/2026,PAYROLL DEPOSIT IBM Canada Ltd.,5314.23,cad
51e526193a42400c2675e62e6c9b4a21eeb8729d,RBC Chequing,6/5/2026,MONTHLY FEE,-16.95,cad
1716f66c8fc249ebfebc98371ce72e22ce534081,RBC Chequing,6/10/2026,HYDRO BILL PMT B.C. HYDRO-PAP,-101.28,cad
e1227aa4ec7ed9b59648c10729ba468cda1ef43f,RBC Chequing,6/10/2026,C-IDP PURCHASE-3534 SAFEWAY #4913,-46.79,cad
174888254472f8eed397e750dca58ae1a0c57d24,RBC Chequing,6/11/2026,MISC PAYMENT BNS PREAUTH PMT,-168.86,cad
2aea189b0580c7c2e263999a773b4ac65bf5d2cb,RBC Chequing,6/12/2026,SQ *H&B HOSPITA IDP PURCHASE - 3888,-12.60,cad
