ID,Account,Date,Description,Amount
cfb736eb1dd366c9c0d369f1f4c6ad5bc4c3dee8,RBC Chequing,2/16/2026,GAP OUTLET CA 6 IDP PURCHASE - 9768,-123.33,cad
ab2166d303b7c8a6bb046a50b38e68ed27492e6e,RBC Chequing,2/18/2026,Email Trfs E-TRANSFER SENT,-470.88,cad
1dc14cd47d70c2d3b42f1b268535d319751562ac,RBC Chequing,2/23/2026,MOBILE DEP- 6187,660.00,cad
52721d355fdd20fef5444a453579f5fe17970049,RBC Chequing,2/23/2026,BILL PAYMENT Telus Mobility,-151.49,cad
d7a10fb956933061ecd4c0049cf9a9224e3df198,RBC Chequing,2/23/2026,Email Trfs E-TRANSFER SENT,-2500.00,cad
e2ac19ddb1dcda626f3a12dcce20b175dd88e5ee,RBC Chequing,2/23/2026,C-IDP PURCHASE-3658 SQ *FIGS AND OL,-5.00,cad
b7928b5989534a424c015088f06aff8d10d0464a,RBC Chequing,2/23/2026,C-IDP PURCHASE-2883 SQ *CA CROUSTIL,-9.50,cad
c5267bd703e3a838c061c111844f69a4c720a9c6,RBC Chequing,2/23/2026,C-IDP PURCHASE-8318 SQ *1402222BCLT,-35.26,cad
82115efad36019bed08691070f67ab8c13392782,RBC Chequing,2/23/2026,C-IDP PURCHASE-0546 SQ *BOBALI,-36.00,cad
b6362c28bf40cb45efe8038c48e5f79b19381933,RBC Chequing,2/27/2026,PAYROLL DEPOSIT BURNABY #41 TEA,1598.46,cad
611589a07d3500dc00845c28072704cc37bd8178,RBC Chequing,2/27/2026,PAYROLL DEPOSIT IBM Canada Ltd.,4761.82,cad
cf573daf4173daba5175d1ca5f86f1c8fb7337dc,RBC Chequing,2/27/2026,C-IDP PURCHASE-0691 THRIFTY FOODS #,-36.09,cad
8ed28fc4b700450e8f913e070ff9bc245ca69fd9,RBC Chequing,2/27/2026,C-IDP PURCHASE-7690 BC LIQUOR #205,-67.84,cad
a380e3d664c1b370ad8acdb9ea2f2a2343fc8491,RBC Chequing,3/2/2026,MOBIL@ - 1726 IDP PURCHASE - 3138,-63.39,cad
934370e7adb47f568025be677b0b502a14cdb3dc,RBC Chequing,3/2/2026,MISC PAYMENT Block 8 Academy,-45.00,cad
e630a48a3951056537a38117808536b8536c8caa,RBC Chequing,3/2/2026,BILL PAYMENT Telus Comm,-168.00,cad
